sample-id,absolute-filepath,direction
pca171,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S51R1.fastq,forward
pca171,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S51R2.fastq,reverse
pca172,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S52R1.fastq,forward
pca172,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S52R2.fastq,reverse
pca173,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S53R1.fastq,forward
pca173,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S53R2.fastq,reverse
pca174,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S54R1.fastq,forward
pca174,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S54R2.fastq,reverse
pca175,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S55R1.fastq,forward
pca175,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S55R2.fastq,reverse
pca181,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S56R1.fastq,forward
pca181,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S56R2.fastq,reverse
pca182,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S57R1.fastq,forward
pca182,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S57R2.fastq,reverse
pca183,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S58R1.fastq,forward
pca183,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S58R2.fastq,reverse
pca184,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S59R1.fastq,forward
pca184,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S59R2.fastq,reverse
pca185,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S60R1.fastq,forward
pca185,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S60R2.fastq,reverse
pca186,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S61R1.fastq,forward
pca186,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S61R2.fastq,reverse
pca187,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S62R1.fastq,forward
pca187,/vault2/homehpc/jdcarrenoca/seccoral/cairnsi/S62R2.fastq,reverse
